id,marker,meanrr,medianrr,meanhr,sdnn,rmssd,nn50,p_nn50,vlf_percent,lf_percent,hf_percent,lf_hf,lf_n_u,hf_n_u,vlf_abs,lf_abs,hf_abs,recordingtime_s
fuggony,cognitive,795.896,804.6875,75.3867,55.3855,32.184,54,11.0656,34.9266,37.4236,27.6498,1.3535,57.5098,42.4902,833.5211,893.1124,659.8625,388.3973
fuggony,physical,753.635,750,79.6141,56.0193,32.1251,15,9.434,51.585,25.0971,23.3179,1.0763,51.8374,48.1626,710.1321,345.4926,320.9997,119.828
futas,baseline,750.651,750,79.9306,65.1704,28.3163,13,7.7381,58.4025,38.5708,3.0267,12.7435,92.7238,7.2762,1878.1962,1240.4168,97.3376,126.1094
futas,cognitive,838.3553,843.75,71.5687,53.2952,34.3752,59,12.6882,37.2881,41.767,20.9449,1.9941,66.6014,33.3986,864.4667,968.3016,485.5752,389.8352
futas,physical,747.2512,734.375,80.2943,65.2275,40.1704,32,19.7531,31.0547,22.5299,46.4154,0.4854,32.6779,67.3221,862.3733,625.6431,1288.9323,121.0547
gazda,baseline,840.504,835.9375,71.3857,41.0165,29.5534,13,9.1549,12.2664,61.6237,26.1099,2.3602,70.2396,29.7604,192.308,966.1156,409.3414,119.3516
gazda,cognitive,810.0027,804.6875,74.0738,66.2311,46.7756,112,23.4801,23.0453,49.9014,27.0533,1.8446,64.8452,35.1548,842.3264,1823.9421,988.8212,386.3713
gazda,physical,835.8444,835.9375,71.7837,65.9123,35.2607,19,13.2867,44.693,33.6025,21.7045,1.5482,60.7563,39.2437,1583.1052,1190.2595,768.8121,119.5258
ggmy26,baseline,863.2523,851.5625,69.5046,64.125,57.9586,51,37.7778,32.7158,15.2647,52.0195,0.2934,22.6869,77.3131,1412.139,658.8809,2245.3575,116.5391
ggmy26,cognitive,780.9621,781.25,76.8283,54.0318,45.2636,127,25.4509,32.2441,37.2815,30.4745,1.2234,55.0232,44.9768,889.532,1028.5005,840.7133,389.7001
ggmy26,physical,845.2195,855.4688,70.9875,77.0951,59.3895,60,42.2535,44.1487,26.3265,29.5249,0.8917,47.1367,52.8633,2015.5558,1201.9042,1347.9239,120.0212
gorbebogre,baseline,626.5376,625,95.7644,29.8051,11.6771,0,0,49.2172,41.4425,9.3403,4.437,81.6074,18.3926,177.093,149.1183,33.6081,117.7891
gorbebogre,cognitive,552.111,546.875,108.6738,27.3645,11.6322,1,0.1422,37.0329,52.7984,10.1687,5.1922,83.8508,16.1492,224.4359,319.9819,61.6269,388.134
gorbebogre,physical,619.2362,625,96.8936,35.5404,16.31,1,0.5208,34.0801,45.9135,20.0065,2.2949,69.6503,30.3497,396.3649,533.9919,232.6832,118.8933
gyongyharmat,baseline,686.8382,695.3125,87.3568,87.8733,51.3558,40,22.8571,48.4815,18.1081,33.4105,0.542,35.1486,64.8514,4962.0877,1853.3633,3419.5694,120.1967
gyongyharmat,cognitive,685.3466,679.6875,87.5469,80.1029,42.1586,104,18.4397,23.7654,54.4201,21.8145,2.4947,71.385,28.615,1288.529,2950.5878,1182.7548,386.5355
gyongyharmat,physical,712.5468,710.9375,84.205,84.6299,45.1671,40,23.8095,59.2597,28.1561,12.5842,2.2374,69.1112,30.8888,2074.4126,985.6154,440.5152,119.7079
hold,baseline,876.5046,875,68.4537,74.9865,59.8392,61,45.1852,52.2847,13.8552,33.8601,0.4092,29.0372,70.9628,1282.0272,339.7321,830.2552,118.3281
hold,cognitive,917.9005,914.0625,65.3666,80.4536,72.8233,229,54.1371,41.7494,32.0033,26.2473,1.2193,54.9407,45.0593,2524.8126,1935.4147,1587.319,388.2719
hold,physical,866.5418,875,69.2407,71.7712,56.2662,53,38.4058,69.156,13.2473,17.5967,0.7528,42.9494,57.0506,3715.6131,711.7517,945.4335,119.5828
hviki,baseline,732.7836,738.2813,81.8796,51.0494,33.5692,19,11.7284,7.5934,20.7145,71.6922,0.2889,22.4166,77.5834,136.4027,372.1023,1287.8364,118.7109
hviki,cognitive,733.3797,734.375,81.813,39.384,36.1998,84,15.8491,11.0475,33.4609,55.4917,0.603,37.6165,62.3835,145.8334,441.7046,732.5253,388.6912
hviki,physical,719.5076,718.75,83.3904,52.5442,37.5759,27,16.3636,22.1256,42.1236,35.7508,1.1783,54.0917,45.9083,504.2205,959.9563,814.7264,118.7188
indian,baseline,756.6381,757.8125,79.2982,67.9234,35.3133,20,13.0719,44.9048,22.9665,32.1287,0.7148,41.6851,58.3149,2151.0007,1100.1265,1539.007,115.7656
indian,cognitive,745.325,742.1875,80.5018,52.3227,27.5719,33,6.3462,23.3846,50.3301,26.2853,1.9148,65.6919,34.3081,601.7888,1295.2119,676.4348,387.569
indian,physical,782.3757,781.25,76.6895,83.188,43.802,36,22.6415,52.8575,14.4468,32.6956,0.4419,30.6451,69.3549,2959.7357,808.9455,1830.7794,124.3977
jas,baseline,593.4359,593.75,101.1061,35.506,11.0207,0,0,40.4241,45.5621,14.0138,3.2512,76.4774,23.5226,241.4564,272.146,83.7056,118.0938
jas,cognitive,631.691,632.8125,94.9832,30.5519,13.5059,1,0.1631,59.2778,33.5221,7.2001,4.6558,82.319,17.681,506.8043,286.6017,61.5583,387.2266
jas,physical,595.6581,601.5625,100.7289,52.8709,22.5823,8,3.9801,28.4951,64.2632,7.2417,8.8741,89.8725,10.1275,1396.8126,3150.1481,354.9835,119.7273
kapu,baseline,916.2381,914.0625,65.4852,103.027,56.5606,52,40.625,71.5301,19.6656,8.8043,2.2336,69.0751,30.9249,11253.0876,3093.7884,1385.0912,117.2785
kapu,cognitive,937.0988,937.5,64.0274,67.7595,62.0486,179,43.3414,30.8862,40.0094,29.1043,1.3747,57.8892,42.1108,1149.0087,1488.4029,1082.7195,387.0218
kapu,physical,892.2323,890.625,67.2471,55.4697,49.0181,54,40.2985,41.969,28.2407,29.7903,0.948,48.6649,51.3351,1136.0084,764.4144,806.3586,119.5591
kuncz_kerdeses,baseline,603.823,601.5625,99.3669,18.6296,9.2973,0,0,23.3253,49.6712,27.0036,1.8394,64.7817,35.2183,40.5991,86.4558,47.0014,118.9531
kuncz_kerdeses,cognitive,660.4704,656.25,90.8443,38.6225,16.345,4,0.6885,40.3413,43.9212,15.7375,2.7909,73.6207,26.3793,431.5867,469.8858,168.3661,383.7333
kuncz_kerdeses,physical,652.4648,648.4375,91.959,47.1796,19.3231,3,1.6304,30.7918,51.5365,17.6717,2.9163,74.4659,25.5341,467.142,781.8605,268.0974,120.0535
labdarugas,baseline,752.5887,742.1875,79.7248,63.4333,45.0704,43,27.3885,5.5456,61.4228,33.0316,1.8595,65.0291,34.9709,257.817,2855.5707,1535.6495,118.1564
labdarugas,cognitive,727.0583,718.75,82.5243,72.4445,50.1455,153,28.7054,11.4167,54.2529,34.3304,1.5803,61.2451,38.7549,587.1529,2790.1906,1765.5883,387.5221
labdarugas,physical,590.049,585.9375,101.6865,37.3846,20.8572,4,1.9802,22.3601,69.9152,7.7247,9.0508,90.0506,9.9494,544.6611,1703.0376,188.1637,119.1899
lada,baseline,904.899,906.25,66.3057,55.7801,58.4791,59,44.3609,17.9735,29.8578,52.1687,0.5723,36.4002,63.5998,307.9626,511.592,893.8722,120.3516
lada,cognitive,888.6514,890.625,67.518,50.3388,54.0637,180,41.2844,29.2582,31.2315,39.5103,0.7905,44.1485,55.8515,717.0475,765.4065,968.3009,387.452
lada,physical,911.347,914.0625,65.8366,66.1403,62.0732,64,44.7552,43.4943,30.8361,25.6696,1.2013,54.5717,45.4283,1569.1747,1112.4954,926.0979,130.3226
magnezium,baseline,692.974,687.5,86.5833,62.3338,32.9706,19,11.0465,12.7464,51.588,35.6656,1.4464,59.1242,40.8758,360.2801,1458.1421,1008.0926,119.1915
magnezium,cognitive,716.5025,710.9375,83.7401,50.2182,28.7187,32,5.948,26.954,52.3683,20.6777,2.5326,71.6923,28.3077,747.9847,1453.2401,573.8126,385.4783
magnezium,physical,706.3609,695.3125,84.9424,64.7414,34.9644,22,13.0178,15.3669,76.2327,8.4005,9.0748,90.0743,9.9257,846.2177,4197.9533,462.5939,119.375
malna,baseline,900.3459,906.25,66.6411,48.2188,39.4955,21,16.0305,30.9574,38.8155,30.2271,1.2841,56.2196,43.7804,510.9748,640.6776,498.9213,117.9453
malna,cognitive,840.6885,843.75,71.3701,55.8321,40.7054,98,21.2581,44.8021,33.0481,22.1498,1.492,59.872,40.128,1165.3068,859.5852,576.1202,387.5574
malna,physical,914.8167,921.875,65.5869,85.9425,58.3807,57,43.1818,60.3083,13.8122,25.8795,0.5337,34.7986,65.2014,2812.238,644.0748,1206.7881,120.7558
mehpempo,baseline,696.8202,695.3125,86.1054,51.6718,19.7697,2,1.1696,66.7313,28.0899,5.1788,5.424,84.4335,15.5665,1519.7603,639.7293,117.9432,119.1563
mehpempo,cognitive,723.3171,710.9375,82.9512,73.8164,25.0849,33,6.1453,52.1624,40.1463,7.6913,5.2197,83.922,16.078,1484.2642,1142.3492,218.8542,388.4213
mehpempo,physical,671.1213,664.0625,89.4026,47.9241,16.7586,1,0.5618,44.5502,50.5485,4.9012,10.3134,91.1609,8.8391,947.7093,1075.3098,104.2634,119.4596
mindegy,baseline,815.6036,808.5938,73.5651,85.5594,48.0596,36,24.6575,7.1114,84.5697,8.3189,10.166,91.0443,8.9557,477.0498,5673.1258,558.0482,119.0781
mindegy,cognitive,768.3771,757.8125,78.0867,48.5193,30.1799,52,10.2362,25.471800000000002,42.3968,32.1314,1.3195,56.8869,43.1131,451.7362,751.8971,569.8428,390.3356
mindegy,physical,841.8148,828.125,71.2746,56.245,38.3952,21,14.7887,14.3578,72.1003,13.5419,5.3242,84.1878,15.8122,560.0848,2812.5728,528.2594,119.5377
mitya,baseline,744.7754,742.1875,80.5612,38.1298,29.6142,9,5.625,37.6942,37.3174,24.9884,1.4934,59.894,40.106,359.3546,355.7621,238.2245,119.1641
mitya,cognitive,788.3683,781.25,76.1066,61.3541,45.4052,116,23.5772,38.2386,34.9757,26.7857,1.3058,56.6303,43.3697,1172.3494,1072.3111,821.2164,387.8772
mitya,physical,758.1518,742.1875,79.1398,70.0485,47.9481,29,18.3544,66.6663,19.5464,13.7873,1.4177,58.6385,41.3615,2026.4266,594.1433,419.0881,119.788
